Gmt time,Open,High,Low,Close,Volume,ema25,atr,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,bbu_minus_kcu,squeeze,squeezeCloseToEma,posibleBreak,squezzeArea,squeezeCloseToEmaArea,posibleBreakArea,trendLong,trendDaylyShortTerm,trendDaylyLongTerm
2022-09-02 16:40:00,260.236,260.377,259.226,259.297,2.9064,262.0778862835869,0.6841759830888383,260.0306611723632,262.6551,265.2795388276368,1.998391676108191,-0.13977486627565672,1.84870601882767,0,0,0,,,,0,1,0
2022-09-02 16:45:00,259.237,259.866,259.096,259.556,2.88,261.8838950310033,0.6800226277158886,259.53883586008254,262.46310000000005,265.38736413991757,2.2283240119601655,0.0029347793318569115,2.17889636051882,0,0,0,,,,0,1,0
2022-09-02 16:50:00,259.547,259.606,258.686,259.387,3.192,261.6918261824646,0.6763302042339817,259.08567815985214,262.2576,265.4295218401479,2.4189360690770356,0.04749830786086063,2.409765277834765,0,0,0,,,,0,1,0
2022-09-02 16:55:00,259.387,259.627,259.096,259.427,2.9088000000000003,261.51760878381344,0.6727617433217807,258.7183633737626,262.04314999999997,265.36793662623734,2.5375871311555898,0.10656873747103869,2.589204498430206,0,0,0,,,,0,1,0
2022-09-02 17:00:00,259.447,259.447,258.236,258.767,3.0804,261.3060234927509,0.6705199046972362,258.26986308389723,261.80015,265.3304369161027,2.696932691675493,0.0704102708812653,2.703107848086688,0,0,0,,,,0,1,0
2022-09-02 17:05:00,258.767,258.927,258.096,258.346,3.0444,261.0783293779239,0.6693201386857804,257.8099893732857,261.53409999999997,265.25821062671423,2.8478967956486474,0.0719649173240614,2.8803414699378322,0,0,0,,,,0,1,0
2022-09-02 17:10:00,258.347,258.776,258.166,258.716,3.0708,260.89661173346826,0.6685616223564748,257.5031232647028,261.2876,265.0720767352972,2.8967901540656165,0.160243650593078,2.926766545832834,0,0,0,,,,0,1,0
2022-09-02 17:15:00,258.706,259.116,258.146,258.796,3.2508,260.73502621550915,0.6688554624191502,257.2847962410958,261.03955,264.7943037589042,2.8767700211743397,0.20123873041213863,2.783213587484113,0,0,0,,,,0,1,0
2022-09-02 17:20:00,258.797,258.797,257.556,257.596,2.9496,260.49356266047,0.6697493247011986,256.8628664453747,260.75605,264.6492335546253,2.986073423512356,0.094156047915373,2.8222472090546944,0,0,0,,,,0,1,0
2022-09-02 17:25:00,257.596,257.766,257.396,257.626,2.9904,260.27298091735696,0.6697436091782882,256.5916179655791,260.44655,264.3014820344209,2.960248108044377,0.13416345932753673,2.804113436047544,0,0,0,,,,0,1,0
