Gmt time,Open,High,Low,Close,Volume,EMA,EMASignal,isPivot,pointpos,pattern_detected,pointBreak
06.09.2022 18:10:00.000,253.237,254.067,253.226,253.897,2.3688,253.49611403831304,0,0,,0,0
06.09.2022 18:15:00.000,253.907,254.127,253.756,253.966,2.0232,253.53225911228898,0,0,,0,0
06.09.2022 18:20:00.000,253.967,254.057,253.716,253.967,2.1444,253.565700719036,0,0,,0,0
06.09.2022 18:25:00.000,253.997,254.087,253.606,253.756,2.1948000000000003,253.580339125264,0,0,,0,0
06.09.2022 18:30:00.000,253.756,253.917,253.196,253.536,2.0820000000000003,253.57692842332062,0,0,,0,0
06.09.2022 18:35:00.000,253.507,254.057,253.306,253.837,1.8384000000000005,253.59693392921906,0,0,,0,0
06.09.2022 18:40:00.000,253.836,253.866,253.426,253.537,1.902,253.59232362697145,0,0,,0,0
06.09.2022 18:45:00.000,253.536,253.657,253.186,253.607,2.2476000000000003,253.5934525787429,0,0,,0,0
06.09.2022 18:50:00.000,253.637,253.657,252.996,253.517,2.1096000000000004,253.58757161114733,0,0,,0,0
06.09.2022 18:55:00.000,253.547,253.877,253.147,253.406,2.232,253.573604564136,0,0,,0,0
06.09.2022 19:00:00.000,253.386,253.576,252.896,253.116,2.3904,253.5384042130486,0,0,,0,0
06.09.2022 19:05:00.000,253.117,254.027,253.036,253.997,2.3088,253.5736808120449,0,0,,0,0
06.09.2022 19:10:00.000,254.006,254.067,253.696,253.747,2.1612,253.58701305727223,0,0,,0,0
06.09.2022 19:15:00.000,253.747,254.267,253.676,253.696,2.3928000000000003,253.5953966682513,0,0,,0,0
06.09.2022 19:20:00.000,253.687,253.887,253.196,253.627,2.2596,253.59782769377045,0,0,,0,0
06.09.2022 19:25:00.000,253.647,253.857,253.377,253.556,2.0172,253.59461017886505,0,0,,0,0
06.09.2022 19:30:00.000,253.567,253.586,252.556,252.917,2.382,253.54248631895237,0,0,,0,0
06.09.2022 19:35:00.000,252.926,253.166,252.766,252.826,2.1144,253.48737198672526,0,0,,0,0
06.09.2022 19:40:00.000,252.826,253.607,252.756,253.526,2.1096,253.4903433723618,0,0,,0,0
06.09.2022 19:45:00.000,253.547,253.736,253.097,253.526,2.3304,253.49308618987246,0,0,,0,0
06.09.2022 19:50:00.000,253.527,253.527,252.737,252.936,2.5284,253.45023340603612,0,0,,0,0
06.09.2022 19:55:00.000,252.926,253.387,252.496,253.336,2.3868,253.44144622095644,0,2,250.496,0,0
07.09.2022 13:30:00.000,254.176,254.976,254.116,254.547,1.7508,253.5264888193444,0,0,,0,0
07.09.2022 13:35:00.000,254.547,255.656,254.226,255.547,2.1252,253.68191275631793,0,0,,0,0
07.09.2022 13:40:00.000,255.537,255.777,254.916,255.226,2.0304,253.80068869813965,0,0,,0,0
07.09.2022 13:45:00.000,255.257,255.887,255.116,255.667,2.3772,253.94425110597507,0,1,257.887,0,0
07.09.2022 13:50:00.000,255.606,255.747,255.297,255.516,2.6544,254.06515486705393,0,0,,0,0
07.09.2022 13:55:00.000,255.437,255.837,254.846,255.037,2.6004,254.13991218497287,0,0,,0,0
07.09.2022 14:00:00.000,255.017,255.037,254.246,254.836,2.5764,254.19345740151346,0,0,,0,0
07.09.2022 14:05:00.000,254.836,255.067,254.086,254.197,2.4876,254.19372990908937,0,0,,0,0
07.09.2022 14:10:00.000,254.196,254.407,253.536,253.636,2.3952000000000004,254.1508276083902,0,0,,0,0
07.09.2022 14:15:00.000,253.637,253.716,253.326,253.606,2.37,254.1089177923602,0,0,,0,0
07.09.2022 14:20:00.000,253.566,253.657,253.206,253.537,2.2536,254.0649241160248,0,0,,0,0
07.09.2022 14:25:00.000,253.536,254.397,253.296,254.247,2.724,254.0789299532537,0,0,,0,0
07.09.2022 14:30:00.000,254.226,255.246,254.226,254.426,2.3628,254.10562764915727,0,0,,0,0
07.09.2022 14:35:00.000,254.457,254.716,254.056,254.216,2.3352,254.11411782999136,0,0,,0,0
07.09.2022 14:40:00.000,254.207,254.287,253.556,253.857,2.4936,254.09433953537666,0,0,,0,0
07.09.2022 14:45:00.000,253.857,253.967,253.526,253.657,1.9392,254.0606980326554,0,0,,0,0
07.09.2022 14:50:00.000,253.657,254.336,253.446,254.287,2.424,254.07810587629731,0,0,,0,0
07.09.2022 14:55:00.000,254.287,254.637,254.066,254.167,2.1936,254.08494388581292,0,0,,0,0
07.09.2022 15:00:00.000,254.137,254.937,253.836,254.806,2.1996,254.14040974075039,0,0,,0,0
07.09.2022 15:05:00.000,254.806,255.197,254.667,254.897,1.914,254.1986089914619,0,0,,0,0
07.09.2022 15:10:00.000,254.916,255.727,254.866,255.297,1.9716,254.28310060750331,0,0,,0,0
07.09.2022 15:15:00.000,255.287,255.347,254.876,255.007,1.74,254.33878517615693,0,0,,0,0
07.09.2022 15:20:00.000,255.037,255.497,255.006,255.426,1.8492,254.42241708568332,0,0,,0,0
07.09.2022 15:25:00.000,255.407,255.557,255.086,255.127,1.8648,254.4766157714,0,0,,0,0
07.09.2022 15:30:00.000,255.096,255.516,255.016,255.127,2.0988,254.52664532744615,0,0,,0,0
07.09.2022 15:35:00.000,255.116,255.377,255.096,255.167,1.8012,254.57590337918109,0,0,,0,0
07.09.2022 15:40:00.000,255.187,255.237,254.746,254.917,2.0388,254.60214158078256,0,0,,0,0
07.09.2022 15:45:00.000,254.917,255.307,254.836,255.226,1.6932,254.65013068995316,0,0,,0,0
07.09.2022 15:50:00.000,255.226,255.427,255.106,255.276,1.6668,254.6982744830337,0,0,,0,0
07.09.2022 15:55:00.000,255.276,255.447,255.147,255.216,1.5792,254.73809952280038,0,0,,0,0
07.09.2022 16:00:00.000,255.206,255.507,255.187,255.357,1.7184,254.78570725181575,0,0,,0,0
07.09.2022 16:05:00.000,255.356,255.677,255.196,255.607,1.3968,254.84888361706072,0,0,,0,0
07.09.2022 16:10:00.000,255.606,255.637,255.196,255.217,1.4976000000000005,254.87720026190223,0,0,,0,0
07.09.2022 16:15:00.000,255.226,255.256,254.956,255.127,1.56,254.8964156263713,0,0,,0,0
07.09.2022 16:20:00.000,255.127,255.236,254.616,254.797,1.7952,254.8887682704966,0,0,,0,0
07.09.2022 16:25:00.000,254.806,255.156,254.726,255.077,1.1964,254.90324763430456,0,0,,0,0
07.09.2022 16:30:00.000,255.077,255.106,254.696,255.027,1.5215999999999998,254.91276704705038,0,0,,0,0
07.09.2022 16:35:00.000,255.027,255.647,254.907,255.647,1.44,254.96924650496962,0,0,,0,0
07.09.2022 16:40:00.000,255.626,256.417,255.546,256.156,2.1828,255.0605352353566,0,0,,0,0
07.09.2022 16:45:00.000,256.146,256.437,256.096,256.177,1.8168,255.1464171403292,0,0,,0,0
07.09.2022 16:50:00.000,256.177,256.287,255.816,255.897,1.878,255.20415428338083,0,0,,0,0
07.09.2022 16:55:00.000,255.837,256.157,255.656,256.086,1.6416000000000002,255.27198856927464,0,0,,0,0
07.09.2022 17:00:00.000,256.087,256.627,256.026,256.416,1.8996,255.3599894485612,0,0,,0,0
07.09.2022 17:05:00.000,256.416,256.596,256.186,256.286,1.9056,255.43122102944113,0,0,,0,0
